aa-lsm-hook                                   - AppArmor system integration
gedit                                         - gedit is an easy-to-use and general-purpose text editor.
gegl                                          - GEGL (Generic Graphics Library) is a graph based image processing framework
geoclue                                       - GeoInformation service
gettext                                       - Localisation support for programs
gexiv2                                        - GObject wrapper around libexiv2
gflags                                        - C++ library that implements commandline flags processing
ghostscript                                   - PostScript language and PDF interpreter
giflib                                        - GIFLIB is a package of portable tools and library routines for working with GIF images
gimp                                          - GNU Image Manipulation Program
gimp-docs                                     - Documentation for gimp
gimp-help                                     - English (US) help files for GIMP
git                                           - fast, scalable, distributed revision control system
github-cli                                    - GitHub?s official command line tool
gitkraken                                     - The downright luxurious Git client, for Windows, Mac and Linux
gjs                                           - GNOME JavaScript
glew                                          - OpenGL Extension Wrangler Library
glib-networking                               - The GLib Networking package contains Network related gio modules for GLib.
glib2                                         - Low level C library containing data structure handling and interfaces
glib2-devel                                   - Development files for glib2
glibc                                         - This package contains the GNU C libraries and header files
glibc-32bit                                   - 32-bit libraries for glibc
glibc-devel                                   - Development files for glibc
glibmm                                        - C++ bindings to GLib
glibmm-2.68                                   - C++ bindings to GLib (2.68 ABI)
glog                                          - C++ implementation of the Google logging module
gmic                                          - GREYC's Magic for Image Computing
gmmlib                                        - Intel(R) Graphics Memory Management Library
gmp                                           - The GMP package contains math libraries. These have useful functions for arbitrary precision arithmetic.
gnome-autoar                                  - Automatic archive library
gnome-bluetooth                               - The GNOME Bluetooth Subsystem
gnome-bluetooth-1                             - The GNOME Bluetooth Subsystem providing gnome-bluetooth-1.0
gnome-bluetooth-1-common                      - Common BlueTooth components between gnome-bluetooth versions
gnome-browser-connector                       - Native browser connector for integration with extensions.gnome.org
gnome-calculator                              - Perform arithmetic, scientific or financial calculations
gnome-calendar                                - Manage your schedule
gnome-color-manager                           - GNOME Color Manager
gnome-control-center                          - Utility to configure the GNOME desktop
gnome-desktop-branding                        - Defaults for the GNOME Desktop
gnome-disk-utility                            - Disk management utility for GNOME
gnome-keyring                                 - GNOME Keyring is a collection of components in GNOME that store secrets, passwords, keys, certificates and make them available to applications.
